old_cityID,X,Y,country,state,city
8713,-80.60982128,28.20987869,United States,Florida,IND HBR BCH
8718,5.727839443,34.83885348,Algeria,Biskra Province,Biskra
8725,-77.61443619,35.27550309,United States,North Carolina,Kinston
8751,-97.08585936,47.92449336,United States,North Dakota,Grand Forks
8774,-97.40989257,42.03064865,United States,Nebraska,Hadar
8776,75.74342605,29.14606525,India,Haryana,Hisar
8787,-77.65396366,36.45076834,United States,North Carolina,RONOK RPD AFS
8792,-121.7624109,42.20655697,United States,Oregon,Klamath Falls
8799,-80.62691503,34.24694883,United States,South Carolina,Camden
8842,113.9954521,32.46028933,China,Henan,Xinyang
8848,-78.60235296,35.32518197,United States,North Carolina,Dunn
8885,-79.02921878,34.62833894,United States,North Carolina,Lumberton
8893,-122.9433455,46.13802181,United States,Washington,Longview
8913,-87.0161909,34.59597182,United States,Alabama,Decatur
8929,-80.8629133,33.4945787,United States,South Carolina,Orangeburg
8955,7.725531525,36.84296167,Algeria,Annaba Province,El Bouni
8990,-80.87649871,35.7975098,United States,North Carolina,Statesville
9009,-82.35846073,31.22126956,United States,Georgia,Waycross
9013,-82.1548944,34.20093913,United States,South Carolina,Greenwood
9015,64.4583018,39.7596028,Uzbekistan,Bukhara Region,Bukhara
9021,-79.73709285,34.91853182,United States,North Carolina,Rockingham
9027,-92.20983905,38.57081799,United States,Missouri,Jefferson City
9049,-106.3335232,42.8427897,United States,Wyoming,Bar Nunn
9051,-81.49581576,31.21684275,United States,Georgia,Brunswick
9055,-79.39946808,36.58837183,United States,Virginia,Danville
9056,-95.26474189,38.95729776,United States,Kansas,Lawrence
9059,76.96610918,52.318137,Kazakhstan,Pavlodar Region,Pavlodar
9077,35.72583151,31.15418818,Jordan,Karak Governorate,Kerak
9097,117.3721783,38.65916484,China,Tianjin,Tianjin
9124,-96.81394407,39.05809702,United States,Kansas,Junction City
9136,-100.44957,31.44937033,United States,Texas,Grape Creek
9138,-79.43120276,35.17186365,United States,North Carolina,Pinehurst
9151,-120.5250425,37.32865463,United States,California,Merced
9171,-101.4261696,26.88159053,Mexico,Coahuila,Monclova
9188,-81.48100825,27.52532022,United States,Florida,Sebring
9191,-75.14954581,3.272138305,Colombia,Huila,
9201,51.90670756,47.11249387,Kazakhstan,Atyrau Region,Atyrau
9219,71.38099119,42.89080762,Kazakhstan,Jambyl Region,Taraz
9223,-94.8370705,39.76823312,United States,Missouri,Saint Joseph
9292,-77.92844885,35.73592359,United States,North Carolina,Wilson
9307,34.80463664,31.28219912,Israel,South District,Be'er Sheva
9309,77.33822258,11.11401774,India,Tamil Nadu,Tiruppur
9315,130.3297801,46.80273031,China,Heilongjiang,Jiamusi
9348,47.12677395,31.82368903,Iraq,Maysan Governorate,Amarah
9352,9.128242741,39.26447533,Italy,Sardinia,Monserrato
9399,-80.99618099,46.48639085,Canada,Ontario,Greater Sudbury
9414,117.3322878,38.40278819,China,Hebei,Cangzhou
9416,75.39105447,51.70052896,Kazakhstan,Pavlodar Region,Ekibastuz
